"name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y"
"1","Andre Iguodala","Golden State Warriors","3/24/17",2016,3,2,35,"shot_no","Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1
"2","Andre Iguodala","Golden State Warriors","11/3/16",2016,2,10,51,"shot_no","Alley Oop Dunk Shot","2PT Field Goal",1,"Oklahoma City Thunder",-12,13
"3","Andre Iguodala","Golden State Warriors","10/25/16",2016,2,0,6,"shot_yes","Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1
"4","Andre Iguodala","Golden State Warriors","11/3/16",2016,2,11,10,"shot_no","Alley Oop Layup shot","2PT Field Goal",1,"Oklahoma City Thunder",-1,11
"5","Andre Iguodala","Golden State Warriors","1/8/17",2016,4,0,32,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1
"6","Andre Iguodala","Golden State Warriors","3/16/17",2016,3,5,30,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1
"7","Andre Iguodala","Golden State Warriors","1/2/17",2016,4,7,57,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1
"8","Andre Iguodala","Golden State Warriors","12/7/16",2016,4,9,31,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1
"9","Andre Iguodala","Golden State Warriors","2/28/17",2016,2,0,23,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1
"10","Andre Iguodala","Golden State Warriors","2/1/17",2016,2,0,2,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1
"11","Andre Iguodala","Golden State Warriors","11/25/16",2016,1,0,44,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1
"12","Andre Iguodala","Golden State Warriors","2/13/17",2016,1,0,41,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1
"13","Andre Iguodala","Golden State Warriors","12/28/16",2016,2,3,34,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1
"14","Andre Iguodala","Golden State Warriors","3/28/17",2016,3,5,56,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1
"15","Andre Iguodala","Golden State Warriors","12/7/16",2016,3,3,23,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1
"16","Andre Iguodala","Golden State Warriors","11/16/16",2016,2,1,23,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1
"17","Andre Iguodala","Golden State Warriors","11/18/16",2016,1,3,36,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1
"18","Andre Iguodala","Golden State Warriors","2/13/17",2016,1,1,3,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1
"19","Andre Iguodala","Golden State Warriors","2/11/17",2016,1,0,59,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1
"20","Andre Iguodala","Golden State Warriors","11/25/16",2016,2,3,24,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1
"21","Andre Iguodala","Golden State Warriors","2/10/17",2016,3,1,21,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",10,8
"22","Andre Iguodala","Golden State Warriors","1/16/17",2016,2,5,8,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",-11,7
"23","Andre Iguodala","Golden State Warriors","1/16/17",2016,4,9,39,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",-1,8
"24","Andre Iguodala","Golden State Warriors","1/6/17",2016,2,2,34,"shot_no","Cutting Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",10,11
"25","Andre Iguodala","Golden State Warriors","2/13/17",2016,1,2,55,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Denver Nuggets",-14,7
